Time(s),Vc(V),Current_Discharge(A)
0.0000,15.0000,-3.0000
0.0500,13.5726,-2.7145
0.1000,12.2810,-2.4562
0.1500,11.1123,-2.2225
0.2000,10.0548,-2.0110
0.2500,9.0980,-1.8196
0.3000,8.2322,-1.6464
0.3500,7.4488,-1.4898
0.4000,6.7399,-1.3480
0.4500,6.0985,-1.2197
0.5000,5.5182,-1.1036
0.5500,4.9931,-0.9986
0.6000,4.5179,-0.9036
0.6500,4.0880,-0.8176
0.7000,3.6990,-0.7398
0.7500,3.3470,-0.6694
0.8000,3.0284,-0.6057
0.8500,2.7403,-0.5481
0.9000,2.4795,-0.4959
0.9500,2.2435,-0.4487
1.0000,2.0300,-0.4060
1.0500,1.8368,-0.3674
1.1000,1.6620,-0.3324
1.1500,1.5039,-0.3008
1.2000,1.3608,-0.2722
1.2500,1.2313,-0.2463
1.3000,1.1141,-0.2228
1.3500,1.0081,-0.2016
1.4000,0.9122,-0.1824
1.4500,0.8253,-0.1651
1.5000,0.7468,-0.1494
1.5500,0.6757,-0.1351
1.6000,0.6114,-0.1223
1.6500,0.5532,-0.1106
1.7000,0.5006,-0.1001
1.7500,0.4530,-0.0906
1.8000,0.4099,-0.0820
1.8500,0.3709,-0.0742
1.9000,0.3356,-0.0671
1.9500,0.3036,-0.0607
2.0000,0.2747,-0.0549
2.0500,0.2486,-0.0497
2.1000,0.2249,-0.0450
2.1500,0.2035,-0.0407
2.2000,0.1842,-0.0368
2.2500,0.1666,-0.0333
2.3000,0.1508,-0.0302
2.3500,0.1364,-0.0273
2.4000,0.1234,-0.0247
2.4500,0.1117,-0.0223
2.5000,0.1011,-0.0202
2.5500,0.0915,-0.0183
2.6000,0.0827,-0.0165
2.6500,0.0749,-0.0150
2.7000,0.0677,-0.0135
2.7500,0.0613,-0.0123
2.8000,0.0555,-0.0111
2.8500,0.0502,-0.0100
2.9000,0.0454,-0.0091
2.9500,0.0411,-0.0082
3.0000,0.0372,-0.0074
3.0500,0.0336,-0.0067
3.1000,0.0304,-0.0061
3.1500,0.0275,-0.0055
3.2000,0.0249,-0.0050
3.2500,0.0226,-0.0045
3.3000,0.0204,-0.0041
3.3500,0.0185,-0.0037
3.4000,0.0167,-0.0033
3.4500,0.0151,-0.0030
3.5000,0.0137,-0.0027
3.5500,0.0124,-0.0025
3.6000,0.0112,-0.0022
3.6500,0.0101,-0.0020
3.7000,0.0092,-0.0018
3.7500,0.0083,-0.0017
3.8000,0.0075,-0.0015
3.8500,0.0068,-0.0014
3.9000,0.0061,-0.0012
3.9500,0.0056,-0.0011
4.0000,0.0050,-0.0010
